samples_s1,min_time_s1,max_time_s1,duration_ps_s1,toggles_s1,toggle_rate_s1,avg_value_s1,glitches_s1,mean_time_diff_s1,avg_jump_s1,jump_std_s1,jump_max_s1,bitflip_rate_s1,entropy_s1,file,signal_s1,label_s1,samples_s2,min_time_s2,max_time_s2,duration_ps_s2,toggles_s2,toggle_rate_s2,avg_value_s2,median_value,value_range,glitches_s2,mean_time_diff_s2,min_time_diff,max_time_diff,avg_jump_s2,median_jump,jump_std_s2,jump_max_s2,bitflip_rate_s2,entropy_s2,unique_values,signal_s2,signal_type,label_s2,diff_samples,diff_toggles,diff_toggle_rate,diff_glitches,diff_avg_jump,diff_jump_std,diff_bitflip_rate,diff_entropy
161,0,825000,825000,160,193.93939393939397,0.5031055900621118,0,5156.25,1.0,0.0,1,1.0,0.9999721711292532,dumptrojana.vcd,clk $end,1,70,0,825000,825000,69,83.63636363636364,7.4714285714285715,7.5,15,0,11956.521739130434,10000,145000,6.826086956521739,5.0,2.760783976763051,11,2.3076923076923075,3.99131383342181,16,count_trojan [3:0] $end,wire,1,91,91,110.30303030303033,0,5.826086956521739,2.760783976763051,1.3076923076923075,2.991341662292557
161,0,825000,825000,160,193.93939393939397,0.5031055900621118,0,5156.25,1.0,0.0,1,1.0,0.9999721711292532,dumptrojanb.vcd,clk $end,1,81,0,825000,825000,80,96.96969696969695,7.432098765432099,7.0,15,0,10312.5,10000,35000,3.1875,2.0,3.77853725004796,15,1.5227272727272727,3.941675935898547,16,count_trojan [3:0] $end,wire,1,80,80,96.96969696969701,0,2.1875,3.77853725004796,0.5227272727272727,2.941703764769294
161,0,925000,925000,160,172.97297297297297,0.5031055900621118,0,5781.25,1.0,0.0,1,1.0,0.9999721711292532,dumptrojanc.vcd,clk $end,1,81,0,925000,925000,80,86.48648648648648,7.580246913580247,8.0,15,0,11562.5,10000,135000,2.025,1.0,3.605464602516574,15,1.423728813559322,3.998437877935501,16,count_trojan [3:0] $end,wire,1,80,80,86.48648648648648,0,1.025,3.605464602516574,0.423728813559322,2.998465706806248
106,0,1000000,1000000,105,105.0,0.5,0,9523.809523809525,1.0,0.0,1,1.0,1.0,dumptrojand.vcd,clk $end,1,53,0,995000,995000,52,52.26130653266332,7.811320754716981,8.0,15,0,19134.615384615383,10000,485000,2.076923076923077,1.0,3.730570970148352,15,1.4102564102564104,3.986340029585875,16,count_trojan [3:0] $end,wire,1,53,53,52.73869346733668,0,1.076923076923077,3.730570970148352,0.41025641025641035,2.986340029585875
76,0,1000000,1000000,75,75.0,0.5,0,13333.333333333334,1.0,0.0,1,1.0,1.0,dumptrojane.vcd,clk $end,1,3,0,645000,645000,2,3.1007751937984493,10.0,15.0,15,0,322500.0,10000,635000,15.0,15.0,0.0,15,0.0,0.9182958340544896,2,count_trojan [3:0] $end,wire,1,73,73,71.89922480620154,0,14.0,0.0,1.0,0.08170416594551044
76,0,1000000,1000000,75,75.0,0.5,0,13333.333333333334,1.0,0.0,1,1.0,1.0,dumptrojanf.vcd,clk $end,1,38,0,995000,995000,37,37.185929648241206,7.5,7.5,15,0,26891.891891891893,10000,635000,1.7567567567567568,1.0,3.1657406409397453,15,1.4285714285714286,3.970840013101984,16,count_trojan [3:0] $end,wire,1,38,38,37.814070351758794,0,0.7567567567567568,3.1657406409397453,0.4285714285714286,2.970840013101984
80,0,510000,510000,79,154.90196078431373,0.5,0,6455.696202531645,1.0,0.0,1,1.0,1.0,dumptrojang.vcd,clk $end,1,40,0,505000,505000,39,77.22772277227723,7.375,7.0,15,0,12948.71794871795,10000,125000,2.102564102564102,1.0,3.469980209763057,15,1.4285714285714286,3.958694969562842,16,count_trojan [3:0] $end,wire,1,40,40,77.6742380120365,0,1.1025641025641022,3.469980209763057,0.4285714285714286,2.958694969562842
101,0,515000,515000,100,194.17475728155335,0.504950495049505,0,5150.0,1.0,0.0,1,1.0,0.999929285432166,dumptrusteda.vcd,clk $end,0,51,0,515000,515000,50,97.08737864077668,7.450980392156863,8.0,15,0,10300.0,10000,25000,3.84,4.0,2.6933993391251883,8,1.0,2.995889491288273,8,count_trusted [3:0] $end,wire,0,50,50,97.08737864077668,0,2.84,2.6933993391251883,0.0,1.9959602058561072
198,0,1000000,1000000,197,197.0,0.5,0,5076.142131979696,1.0,0.0,1,1.0,1.0,dumptrustedb.vcd,clk $end,0,99,0,995000,995000,98,98.4924623115578,7.696969696969697,8.0,15,0,10153.061224489797,10000,25000,1.8571428571428568,1.0,3.356382892705923,15,1.4189189189189189,3.997219969377995,16,count_trusted [3:0] $end,wire,0,99,99,98.5075376884422,0,0.8571428571428568,3.356382892705923,0.41891891891891886,2.997219969377995
198,0,1000000,1000000,197,197.0,0.5,0,5076.142131979696,1.0,0.0,1,1.0,1.0,dumptrustedc.vcd,clk $end,0,99,0,995000,995000,98,98.4924623115578,7.303030303030303,7.0,15,0,10153.061224489797,10000,25000,1.8571428571428568,1.0,3.356382892705923,15,1.4109589041095891,3.997219969377995,16,count_trusted [3:0] $end,wire,0,99,99,98.5075376884422,0,0.8571428571428568,3.356382892705923,0.41095890410958913,2.997219969377995
198,0,1000000,1000000,197,197.0,0.5,0,5076.142131979696,1.0,0.0,1,1.0,1.0,dumptrustedd.vcd,clk $end,0,99,0,995000,995000,98,98.4924623115578,4.454545454545454,4.0,9,0,10153.061224489797,10000,25000,1.7346938775510203,1.0,2.310362726217944,9,1.1694915254237288,3.3212469882327063,10,count_trusted [3:0] $end,wire,0,99,99,98.5075376884422,0,0.7346938775510203,2.310362726217944,0.1694915254237288,2.3212469882327063
